player_id,short_name,long_name,player_positions,overall,potential,age,nationality_name,preferred_foot
252371,J. Bellingham,Jude Victor William Bellingham,"CAM, CM",90,94,22,England,Right
239053,F. Valverde,Federico Santiago Valverde Dipetta,"CM, CDM, RB",89,90,26,Uruguay,Right
212622,J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",89,89,30,Germany,Right
235212,A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,"RB, RM",89,90,26,Morocco,Right
224232,N. Barella,Nicolò Barella,CM,87,87,28,Italy,Right
208128,H. Çalhanoğlu,Hakan Çalhanoğlu,"CDM, CM",86,86,31,Türkiye,Right
226268,F. Dimarco,Federico Dimarco,"LB, LM",85,85,27,Italy,Left
239837,A. Mac Allister,Alexis Mac Allister,"CM, CDM",87,88,26,Argentina,Right
231866,Rodri,Rodrigo Hernández Cascante,"CDM, CM",90,90,29,Spain,Right
194765,A. Griezmann,Antoine Griezmann,"ST, LM, CAM",85,85,34,France,Left
232656,T. Hernández,Theo Bernard François Hernández,"LB, LM",84,85,27,France,Left
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",87,87,30,Portugal,Right
246191,J. Alvarez,Julián Álvarez,ST,87,90,25,Argentina,Right
231281,T. Alexander-Arnold,Trent John Alexander-Arnold,"RB, RM",86,87,26,England,Right
244675,Sancet,Oihan Sancet Tirapu,"CAM, CM, ST",84,88,25,Spain,Right
210008,A. Rabiot,Adrien Rabiot-Provost,"CAM, CM",83,83,30,France,Left
212616,R. De Paul,Rodrigo Javier de Paul,"CM, CDM, CAM",84,84,31,Argentina,Right
241096,S. Tonali,Sandro Tonali,"CDM, CM",86,88,25,Italy,Right
226161,Marcos Llorente,Marcos Llorente Moreno,"RB, CM, RM",84,84,30,Spain,Right
209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM, CAM",82,82,30,Germany,Right
255253,Vitinha,Vítor Machado Ferreira,"CM, CDM, CAM",89,91,25,Portugal,Right
209331,M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,"RM, RW",91,91,33,Egypt,Left
204923,M. Sabitzer,Marcel Sabitzer,"CDM, CM",80,80,31,Austria,Right
234378,D. Rice,Declan Rice,"CDM, CM",87,88,26,England,Right
210514,João Cancelo,João Pedro Cavaco Cancelo,"RB, LB, RM",84,84,31,Portugal,Right
228702,F. de Jong,Frenkie de Jong,"CM, CDM",87,87,28,Netherlands,Right
240638,T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,"CM, CDM, CAM",86,87,26,Netherlands,Right
236772,D. Szoboszlai,Dominik Szoboszlai,"CAM, CM",83,86,24,Hungary,Right
233419,Raphinha,Raphael Dias Belloli,"LM, LW",89,89,28,Brazil,Left
246669,B. Saka,Bukayo Saka,"RW, RM",88,90,23,England,Left
223848,S. Milinković-Savić,Sergej Milinković-SavićСергеј Милинковић-Савић,"CM, CDM, CAM",84,84,30,Serbia,Right
251854,Pedri,Pedro González López,"CM, CDM, CAM",89,93,22,Spain,Right
247851,Bruno Guimarães,Bruno Guimarães Rodrigues Moura,"CM, CDM",86,87,27,Brazil,Right
231443,O. Dembélé,Masour Ousmane Dembélé,"ST, RW, CAM",90,90,28,France,Left
272834,João Neves,João Pedro Gonçalves Neves,"CM, CDM",85,90,20,Portugal,Right
246104,R. Gravenberch,Ryan Jiro Gravenberch,"CDM, CM",85,88,23,Netherlands,Right
231478,L. Martínez,Lautaro Javier Martínez,ST,88,88,27,Argentina,Right
192883,H. Mkhitaryan,Henrikh Mkhitaryan,CM,83,83,36,Armenia,Right
192985,K. De Bruyne,Kevin De Bruyne,"CM, CAM",87,87,34,Belgium,Right
240679,T. Koopmeiners,Teun Koopmeiners,"CAM, CM",81,81,27,Netherlands,Left
247635,K. Kvaratskhelia,Khvicha Kvaratskheliaხვიჩა კვარაცხელია,"LW, RW, LM",87,90,24,Georgia,Right
210035,Grimaldo,Alejandro Grimaldo García,"LM, LB, LW",84,84,29,Spain,Left
238074,R. James,Reece James,RB,81,84,25,England,Right
208574,F. Kostić,Filip KostićФилип Костић,"LM, LB, LW",81,81,32,Serbia,Left
238216,C. Gallagher,Conor Gallagher,"CM, CAM, LM",81,85,25,England,Right
225193,Mikel Merino,Mikel Merino Zazón,"CM, ST",83,83,29,Spain,Left
247090,E. Fernández,Enzo Jeremías Fernández,"CM, CDM, CAM",84,87,24,Argentina,Right
209297,Fred,Frederico Rodrigues de Paula Santos,"CM, CDM, CAM",80,80,32,Brazil,Left
197445,D. Alaba,David Olatukunbo Alaba,"CB, LB, LM",82,82,33,Austria,Left
226754,I. Bennacer,Ismaël Bennacerاسماعيل بن ناصر,"CDM, CM",80,82,27,Algeria,Left
263205,B. Yılmaz,Barış Alper Yılmaz,"LM, RM, LW",80,83,25,Türkiye,Right
